bathrooms,bedrooms,city,finishedSqFt,id,image,latitude,longitude,lotSizeSqFt,numFloors,numRooms,parkingType,price,school,state,street,useCode,yearBuilt,zipcode,zpid
2.5,3,SAN DIEGO,1478,1,https://photos.zillowstatic.com/p_d/ISmyocsmsyxfgh1000000000.jpg,32.962252,-117.183473,155558,,,,755293,Canyon Crest Academy,CA,6199 Verda Ln,Townhouse,2006,92130,66111807
3.0,3,SAN DIEGO,1563,2,https://photos.zillowstatic.com/p_d/ISq5p4pjs27w680000000000.jpg,32.960973,-117.184116,135374,2,7,Garage - Attached,805692,Canyon Crest Academy,CA,6139 Verda Ln,Townhouse,2006,92130,66111861
3.0,3,San Diego,1563,3,https://photos.zillowstatic.com/p_d/IS6yxeuvyguooz0000000000.jpg,32.961402,-117.185307,157872,2,7,Garage - Attached,807993,Canyon Crest Academy,CA,6126 Mystra Pt,SingleFamily,2005,92130,66111937
2.5,3,San Diego,1476,4,https://photos.zillowstatic.com/p_d/ISyrbbx3wzl24s1000000000.jpg,32.962518,-117.184897,150836,,,"Garage - Attached, Off-street",746113,Canyon Crest Academy,CA,13011 Carita Cv,Townhouse,2006,92130,66111769
3.0,4,San Diego,2656,5,https://photos.zillowstatic.com/p_d/ISyz50fky6xzhr1000000000.jpg,32.9688,-117.1782,,,,,1225114,Canyon Crest Academy,CA,13574 Bolero Way,SingleFamily,2017,92130,247631235
,,San Diego,,6,https://photos.zillowstatic.com/p_d/ISe4k2jif1bxgs0000000000.jpg,32.969499,-117.1912,,,,,,Canyon Crest Academy,CA,6198 Sagebrush Bend Way,SingleFamily,,92130,248981029
4.5,4,San Diego,2824,7,https://photos.zillowstatic.com/p_d/ISadsnuw7nk3fl1000000000.jpg,32.9692,-117.1782,,,,,1233825,Canyon Crest Academy,CA,13550 Bolero Way,SingleFamily,2017,92130,249829384
,,San Diego,,8,,32.970937,-117.188456,,,,,,Canyon Crest Academy,CA,6226 Sagebrush Bend Way,SingleFamily,,92130,250192759
2.5,3,SAN DIEGO,1478,9,https://photos.zillowstatic.com/p_d/ISmyocsmsyxfgh1000000000.jpg,32.962252,-117.183473,155558,,,,755293,Torrey Pines High School,CA,6199 Verda Ln,Townhouse,2006,92130,66111807
3.0,3,SAN DIEGO,1563,10,https://photos.zillowstatic.com/p_d/ISq5p4pjs27w680000000000.jpg,32.960973,-117.184116,135374,2,7,Garage - Attached,805692,Torrey Pines High School,CA,6139 Verda Ln,Townhouse,2006,92130,66111861
3.0,3,San Diego,1563,11,https://photos.zillowstatic.com/p_d/IS6yxeuvyguooz0000000000.jpg,32.961402,-117.185307,157872,2,7,Garage - Attached,807993,Torrey Pines High School,CA,6126 Mystra Pt,SingleFamily,2005,92130,66111937
2.5,3,San Diego,1476,12,https://photos.zillowstatic.com/p_d/ISyrbbx3wzl24s1000000000.jpg,32.962518,-117.184897,150836,,,"Garage - Attached, Off-street",746113,Torrey Pines High School,CA,13011 Carita Cv,Townhouse,2006,92130,66111769
3.0,4,San Diego,2656,13,https://photos.zillowstatic.com/p_d/ISyz50fky6xzhr1000000000.jpg,32.9688,-117.1782,,,,,1225114,Torrey Pines High School,CA,13574 Bolero Way,SingleFamily,2017,92130,247631235
,,San Diego,,14,https://photos.zillowstatic.com/p_d/ISe4k2jif1bxgs0000000000.jpg,32.969499,-117.1912,,,,,,Torrey Pines High School,CA,6198 Sagebrush Bend Way,SingleFamily,,92130,248981029
4.5,4,San Diego,2824,15,https://photos.zillowstatic.com/p_d/ISadsnuw7nk3fl1000000000.jpg,32.9692,-117.1782,,,,,1233825,Torrey Pines High School,CA,13550 Bolero Way,SingleFamily,2017,92130,249829384
,,San Diego,,16,,32.970937,-117.188456,,,,,,Torrey Pines High School,CA,6226 Sagebrush Bend Way,SingleFamily,,92130,250192759
2.5,3,SAN DIEGO,1882,17,https://photos.zillowstatic.com/p_d/ISu8aue8c1zgkf0000000000.jpg,32.945026,-117.1124,9600,,,Garage - Attached,714254,Westview High School,CA,9645 Paseo Montril,SingleFamily,1974,92129,16805410
3.0,3,SAN DIEGO,1882,18,https://photos.zillowstatic.com/p_d/ISq5lt17h3se0a0000000000.jpg,32.945377,-117.111474,10890,2,6,"Garage - Attached, Off-street",732983,Westview High School,CA,9695 Paseo Montril,SingleFamily,1974,92129,16805415
3.0,4,SAN DIEGO,2304,19,https://photos.zillowstatic.com/p_d/IS1znwkqc5rto31000000000.jpg,32.948264,-117.110634,7501,2,11,"Garage - Attached, Off-street",819625,Westview High School,CA,12719 Mengibar Ave,SingleFamily,1977,92129,16805542
3.0,3,SAN DIEGO,2042,20,https://photos.zillowstatic.com/p_d/ISmepb41cr55yr0000000000.jpg,32.945853,-117.1153,6674,2,,,773338,Westview High School,CA,12546 Cabezon Pl,SingleFamily,1978,92129,16805611
2.5,4,SAN DIEGO,2049,21,,32.944398,-117.114404,7501,,,,781840,Westview High School,CA,12436 Via Cabezon,SingleFamily,1975,92129,16805667
3.0,4,SAN DIEGO,2486,22,https://photos.zillowstatic.com/p_d/IS66klwh67hgq40000000000.jpg,32.949696,-117.114936,10890,2,10,"Garage - Attached, Off-street",851767,Westview High School,CA,9830 La Tortola Ct,SingleFamily,1984,92129,16807904
3.0,4,SAN DIEGO,2292,23,https://photos.zillowstatic.com/p_d/IS2fc6xa9bzpko1000000000.jpg,32.947245,-117.115788,7501,2,9,Garage - Attached,853865,Westview High School,CA,12626 La Tortola,SingleFamily,1983,92129,16807936
2.0,3,SAN DIEGO,1571,24,https://photos.zillowstatic.com/p_d/IS6eummt9fudp71000000000.jpg,32.948544,-117.115055,10890,,,,741942,Westview High School,CA,9830 La Tortola Pl,SingleFamily,1983,92129,16807956
3.0,4,SAN DIEGO,2190,25,https://photos.zillowstatic.com/p_d/ISmi4iihql64zl0000000000.jpg,32.942133,-117.116791,7501,2,7,,839688,Westview High School,CA,12257 Branicole Ln,SingleFamily,1990,92129,16809506
3.0,4,SAN DIEGO,2042,26,https://photos.zillowstatic.com/p_d/ISq1mz3k70z8xa0000000000.jpg,32.939754,-117.115913,7501,2,,Garage - Attached,801167,Westview High School,CA,12189 Branicole Ln,SingleFamily,1990,92129,16809522
3.0,4,SAN DIEGO,2241,27,https://photos.zillowstatic.com/p_d/ISqd7wshh4dy6e1000000000.jpg,32.937557,-117.120886,7501,2,,,871711,Westview High School,CA,11894 Mendiola Pt,SingleFamily,1992,92129,16809587
3.0,5,SAN DIEGO,2740,28,https://photos.zillowstatic.com/p_d/IS2f4gnvrsvgun1000000000.jpg,32.936587,-117.121931,7501,2,12,"Garage - Attached, On-street",914785,Westview High School,CA,11874 Meajean Pl,SingleFamily,1995,92129,16809605
3.0,5,SAN DIEGO,2740,29,https://photos.zillowstatic.com/p_d/ISt08bgol37mch1000000000.jpg,32.935784,-117.121657,4497,2,,Garage - Attached,914742,Westview High School,CA,11812 Meajean Pl,SingleFamily,1994,92129,16809611
2.5,4,SAN DIEGO,2356,30,https://photos.zillowstatic.com/p_d/IS2ni4eek7ktoj0000000000.jpg,32.939732,-117.121431,7501,2,,,868915,Westview High School,CA,9406 Chabola Rd,SingleFamily,1991,92129,16810232
3.0,4,SAN DIEGO,2356,31,https://photos.zillowstatic.com/p_d/ISe0xlv105od4s0000000000.jpg,32.941781,-117.119207,7501,2,9,Garage - Attached,862105,Westview High School,CA,9514 Hito Ct,SingleFamily,1993,92129,16810257
3.0,5,SAN DIEGO,2740,32,https://photos.zillowstatic.com/p_d/ISewdkuznds5171000000000.jpg,32.94166,-117.118475,7501,2,,"Garage - Attached, On-street",917266,Westview High School,CA,9535 Hito Ct,SingleFamily,1994,92129,16810267
2.5,4,SAN DIEGO,2356,33,https://photos.zillowstatic.com/p_d/ISado0q61blv1o1000000000.jpg,32.941015,-117.119391,10890,,,,860969,Westview High School,CA,9496 Hito Ct,SingleFamily,1991,92129,16810270
3.0,4,SAN DIEGO,2381,34,https://photos.zillowstatic.com/p_d/IS5avc44kiomj20000000000.jpg,32.94079,-117.121075,4225,,,Garage - Attached,858061,Westview High School,CA,9436 Hito Ct,SingleFamily,1991,92129,16810280
3.0,4,SAN DIEGO,2356,35,https://photos.zillowstatic.com/p_d/ISmaukf62t1n330000000000.jpg,32.939847,-117.121172,4308,2,,,862398,Westview High School,CA,9416 Chabola Rd,SingleFamily,1991,92129,16810304
3.0,4,SAN DIEGO,3046,36,,33.012976,-117.126298,4923,,,,1025969,Del Norte High School,CA,15914 Bass Ln,SingleFamily,2016,92127,120287373
2.5,3,San Diego,1689,37,https://photos.zillowstatic.com/p_d/ISi3iz78vpni7c0000000000.jpg,33.017961,-117.128225,15459,2,,,698704,Del Norte High School,CA,16607 Gill Loop,Townhouse,2015,92127,123185301
6.0,5,San Diego,4883,38,https://photos.zillowstatic.com/p_d/ISybrgzn1bunbo0000000000.jpg,33.009856,-117.128054,21780,2,14,Garage - Attached,1947263,Del Norte High School,CA,16473 Edgehill Rd,SingleFamily,2015,92127,120288059
5.5,5,San Diego,5135,39,https://photos.zillowstatic.com/p_d/ISek8c7gmvskej0000000000.jpg,33.011742,-117.130742,10140,,,Garage - Attached,1826160,Del Norte High School,CA,16474 Newcomb St,SingleFamily,2016,92127,120287945
5.5,5,San Diego,4775,40,https://photos.zillowstatic.com/p_d/ISme5crnml0oyi1000000000.jpg,33.007728,-117.131308,7501,2,,,1801520,Del Norte High School,CA,15895 Wadsworth Pl,SingleFamily,2016,92127,120287616
6.0,5,San Diego,5391,41,https://photos.zillowstatic.com/p_d/IS2fwp99evqmpx0000000000.jpg,33.013424,-117.129541,10890,2,20,"Garage - Attached, On-street",2176093,Del Norte High School,CA,16542 Newcomb St,SingleFamily,2015,92127,120288699
3.0,4,SAN DIEGO,2771,42,https://photos.zillowstatic.com/p_d/ISeo3vlxo6h2fu0000000000.jpg,33.013902,-117.132693,7501,2,9,Garage - Attached,984996,Del Norte High School,CA,15561 Tanner Ridge Rd,SingleFamily,2013,92127,119855432
4.5,4,SAN DIEGO,3423,43,https://photos.zillowstatic.com/p_d/ISqxmt4kdvenxd1000000000.jpg,33.009479,-117.136126,6756,2,,,1169635,Del Norte High School,CA,15381 Tanner Ridge Cir,SingleFamily,2015,92127,119907046
6.0,5,SAN DIEGO,3799,44,https://photos.zillowstatic.com/p_d/ISmmj0q43u2qdo1000000000.jpg,33.009576,-117.135934,7501,2,15,Garage - Attached,1417501,Del Norte High School,CA,15375 Tanner Ridge Cir,SingleFamily,2015,92127,119907381
