,city,currency1,currency2,currency3,latitude,longitude,record_date,state,street,valuation_high,valuation_low,zestimate,zipcode,zpid
0,San Marcos,USD,USD,USD,33.102541,-117.207319,2019-02-23 01:38:24.230749,CA,1617 Windemere Dr,939988,850466,895227,92078,54903643
0,San Marcos,USD,USD,USD,33.103704,-117.20452,2019-02-23 01:38:24.230749,CA,1667 Portside Pl,971553,879025,925289,92078,54903681
1,SAN MARCOS,USD,USD,USD,33.099882,-117.203761,2019-02-23 01:38:24.230749,CA,1542 Red Oak Ct,764501,691691,728096,92078,51078197
2,SAN MARCOS,USD,USD,USD,33.100219,-117.204972,2019-02-23 01:38:24.230749,CA,1535 Boxwood Ct,784394,709690,747042,92078,51078223
3,SAN MARCOS,USD,USD,USD,33.10051,-117.20593,2019-02-23 01:38:24.230749,CA,1517 Black Walnut Dr,795182,719450,757316,92078,51078233
4,SAN MARCOS,USD,USD,USD,33.10096,-117.208738,2019-02-23 01:38:24.230749,CA,1460 Rivercrest Rd,883503,799359,841431,92078,51078248
0,San Marcos,USD,USD,USD,33.102540999999995,-117.207319,2019-02-23 01:38:24.230749,CA,1617 Windemere Dr,939988,850466,895227,92078,54903643
1,San Marcos,USD,USD,USD,33.103704,-117.20452,2019-02-23 01:38:24.230749,CA,1667 Portside Pl,971553,879025,925289,92078,54903681
2,SAN MARCOS,USD,USD,USD,33.099882,-117.20376100000001,2019-02-23 01:38:24.230749,CA,1542 Red Oak Ct,764501,691691,728096,92078,51078197
3,SAN MARCOS,USD,USD,USD,33.100219,-117.204972,2019-02-23 01:38:24.230749,CA,1535 Boxwood Ct,784394,709690,747042,92078,51078223
4,SAN MARCOS,USD,USD,USD,33.10051,-117.20593000000001,2019-02-23 01:38:24.230749,CA,1517 Black Walnut Dr,795182,719450,757316,92078,51078233
5,SAN MARCOS,USD,USD,USD,33.10096,-117.20873799999998,2019-02-23 01:38:24.230749,CA,1460 Rivercrest Rd,883503,799359,841431,92078,51078248
