region_id,zipcode,median,latitude,longitude
96545,91910,400100,32.635678,-117.054177
96667,92126,461200,32.906739,-117.144336
96546,91911,372300,32.608149,-117.055383
96934,92592,401200,33.518578,-117.030483
96643,92101,486800,32.719783,-117.18143
96651,92109,718700,32.795656,-117.235468
96590,92021,382400,32.837146,-116.877725
96690,92154,357500,32.573458,-116.976394
96646,92104,478800,32.736696,-117.128165
96657,92115,397100,32.755633,-117.070119
96647,92105,318500,32.736776,-117.090673
96664,92122,589500,32.861931,-117.17256
96671,92130,896100,32.944802,-117.199324
96659,92117,513200,32.818462,-117.198482
96669,92128,526900,32.995363,-117.073767
96589,92020,416600,32.793893,-116.967205
96612,92056,412800,33.200621,-117.291134
96625,92071,396000,32.859064,-116.996002
96593,92024,803000,33.050487,-117.251443
96613,92057,382000,33.254323,-117.288128
96645,92103,611200,32.745519,-117.170166
96572,91977,359000,32.723482,-116.993854
96602,92037,1282800,32.870045,-117.249522
96629,92078,502000,33.121434,-117.177444
96595,92026,412100,33.22178,-117.117322
96670,92129,652300,32.966089,-117.127301
96656,92114,342000,32.710352,-117.051647
96560,91942,414000,32.77534,-117.019022
96597,92028,487100,33.409289,-117.301926
96653,92111,474300,32.814071,-117.156404
96567,91950,317600,32.670033,-117.091881
96596,92027,367900,33.133646,-116.97962
96658,92116,461600,32.765951,-117.12915
96982,92672,765100,33.386511,-117.566825
96582,92009,736500,33.095774,-117.23831
96610,92054,0,33.193677,-117.365888
96618,92064,606400,32.994891,-117.018823
96668,92127,683300,33.022206,-117.126479
96605,92040,408900,32.897702,-116.885209
96594,92025,434900,33.089586,-117.011735
96548,91913,457300,32.625569,-116.976102
96623,92069,435800,33.18018,-117.158639
96634,92084,447300,33.215263,-117.207955
96588,92019,435900,32.777565,-116.868369
96614,92058,386200,33.300739,-117.369002
96644,92102,363200,32.722273,-117.116744
96649,92107,766900,32.736422,-117.241825
96619,92065,433000,33.066255,-116.834622
96655,92113,303300,32.69532,-117.121076
96650,92108,0,32.774038,-117.149226
96559,91941,514100,32.75942,-116.997076
96672,92131,671500,32.894669,-117.049687
96652,92110,503000,32.768509,-117.200009
96662,92120,506600,32.797497,-117.071889
96985,92675,643900,33.500307,-117.581328
96581,92008,718500,33.134536,-117.313694
96665,92123,466800,32.821849,-117.133567
