region_id,zipcode,median,latitude,longitude
96667,92126,461200,32.906739,-117.144336
96643,92101,486800,32.719783,-117.18143
96651,92109,718700,32.795656,-117.235468
96690,92154,357500,32.573458,-116.976394
96646,92104,478800,32.736696,-117.128165
96657,92115,397100,32.755633,-117.070119
96647,92105,318500,32.736776,-117.090673
96664,92122,589500,32.861931,-117.17256
96671,92130,896100,32.944802,-117.199324
96659,92117,513200,32.818462,-117.198482
96669,92128,526900,32.995363,-117.073767
96645,92103,611200,32.745519,-117.170166
96602,92037,1282800,32.870045,-117.249522
96670,92129,652300,32.966089,-117.127301
96656,92114,342000,32.710352,-117.051647
96653,92111,474300,32.814071,-117.156404
96658,92116,461600,32.765951,-117.12915
96668,92127,683300,33.022206,-117.126479
96644,92102,363200,32.722273,-117.116744
96649,92107,766900,32.736422,-117.241825
96655,92113,303300,32.69532,-117.121076
96650,92108,0,32.774038,-117.149226
96672,92131,671500,32.894669,-117.049687
96652,92110,503000,32.768509,-117.200009
96662,92120,506600,32.797497,-117.071889
96665,92123,466800,32.821849,-117.133567
96666,92124,545000,32.821491,-117.084136
96680,92139,341000,32.680145,-117.047087
96661,92119,487000,32.814853,-117.036059
96648,92106,925700,32.707628,-117.233877
96707,92173,327700,32.55446,-117.043858
96683,92143,0,32.555548,-117.053566
96663,92121,515300,32.906105,-117.198763
96654,92112,0,32.713925,-117.163717
96689,92153,0,32.574659,-117.069796
96679,92138,0,32.748487,-117.204367
96687,92150,0,32.981623,-117.083028
96697,92163,0,32.749643,-117.150813
96603,92038,0,32.847099,-117.272789
96720,92192,0,32.851153,-117.215282
96724,92196,0,32.916134,-117.129812
96703,92169,0,32.799063,-117.252421
96726,92198,0,33.022142,-117.074532
96708,92174,0,32.709999,-117.08
96704,92170,0,32.696921,-117.134332
96723,92195,0,32.764997,-117.060625
96699,92165,0,32.749589,-117.10462
96705,92171,0,32.783009,-117.170794
96702,92168,0,32.783011,-117.170795
96710,92176,0,32.763417,-117.123093
96711,92177,0,32.824176,-117.231555
96706,92172,0,32.956962,-117.128038
96700,92166,0,32.721014,-117.231177
96721,92193,0,32.801589,-117.140046
96701,92167,0,32.745884,-117.247485
96694,92160,0,32.782587,-117.091966
96709,92175,0,32.764997,-117.060625
96693,92159,0,32.801099,-117.013777
96604,92039,0,32.847099,-117.272789
96678,92137,0,32.748487,-117.204367
96682,92142,0,32.839404,-117.097723
96719,92191,0,32.903497,-117.219618
96686,92149,0,32.675853,-117.064977
96684,92145,0,32.888588,-117.128779
96681,92140,0,32.740175,-117.195654
96641,92093,0,32.87363,-117.238295
96673,92132,0,32.71514,-117.172086
96675,92134,0,32.723523,-117.146914
96676,92135,0,32.69742,-117.208169
96677,92136,0,32.684403,-117.123911
96640,92092,0,32.876639,-117.233018
96685,92147,0,32.723755,-117.219771
96688,92152,0,32.708747,-117.247758
96691,92155,0,32.677346,-117.15844
96695,92161,0,32.871741,-117.233914
96713,92179,0,32.569999,-116.97
96714,92182,0,32.775953,-117.071977
96716,92186,0,32.75,-117.2
96717,92187,0,32.718009,-117.163905
96718,92190,0,32.779999,-117.09
96725,92197,0,32.972456,-117.09177
96727,92199,0,32.981591,-117.082897
