,Name,Ranking,Address,zipcode,median,latitude,longitude,HomeAddress,CityStateZip
0,Canyon Crest Academy,1,"5951 Village Center Loop Rd.San Diego, CA 92130",92130,896100,32.944802,-117.199324,13014 Carita Cv,"San Diego, CA 92130"
1,Torrey Pines High School,2,"3710 Del Mar Heights Rd.San Diego, CA 92130",92130,896100,32.944802,-117.199324,13014 Carita Cv,"San Diego, CA 92130"
2,Westview High School,3,"13500 Camino Del SurSan Diego, CA 92129",92129,652300,32.966089,-117.127301,9090 Oviedo St,"San Diego, CA 92129"
3,Del Norte High School,4,"16601 Nighthawk Ln.San Diego, CA 92127",92127,683300,33.022206,-117.126479,16548 Nicole Ridge Rd,"San Diego, CA 92127"
4,Coronado High School,5,"650 D Ave.Coronado, CA 92118",92118,1424100,32.645759,-117.160716,710 E Ave,"Coronado, CA 92118"
5,San Dieguito High Academy,6,"800 Santa Fe Dr.Encinitas, CA 92024",92024,803000,33.050487,-117.251443,1080 Balour Dr,"Encinitas, CA 92024"
6,Grossmont Middle College High School,7,"8800 Grossmont College Dr.El Cajon, CA 92020",92020,416600,32.793893,-116.967205,166 Cottonpatch Way,"El Cajon, CA 92020"
7,Sage Creek High School,8,"3900 Cannon Rd.Carlsbad, CA 92010",92010,560600,33.155305,-117.279802,4371 Tuolumne Pl,"Carlsbad, CA 92010"
8,Rancho Bernardo High School,9,"13010 Paseo LucidoSan Diego, CA 92128",92128,526900,32.995363,-117.073767,12379 Fairway Pointe Row,"San Diego, CA 92128"
9,Preuss School UCSD,10,"9500 Gilman Dr.La Jolla, CA 92037",92037,1282800,32.870045,-117.249522,2817 Caminito Turnberry,"La Jolla, CA 92037"
10,Mt. Carmel High School,11,"9550 Carmel Mountain Rd.San Diego, CA 92129",92129,652300,32.966089,-117.127301,10003 Kika Ct,"San Diego, CA 92129"
11,Mt. Everest Academy,12,"4350 Mt. Everest Blvd.San Diego, CA 92117",92117,513200,32.818462,-117.198482,5393 Balboa Ave,"San Diego, CA 92117"
12,Mission Vista High School,13,"1306 Melrose DriveOceanside, CA 92057",92057,382000,33.254323,-117.288128,1615 Shire Ave,"Oceanside, CA 92057"
13,La Costa Canyon High School,14,"1 Maverick WayCarlsbad, CA 92009",92009,736500,33.095774,-117.23831,3106 Levante St,"Carlsbad, CA 92009"
14,Classical Academy High School,15,"207 East Pennsylvania AvenueEscondido, CA 92025",92025,434900,33.089586,-117.011735,1103 Mary Lane Ct,"Escondido, CA 92025"
15,Scripps Ranch High School,16,"10410 Treena St.San Diego, CA 92131",92131,671500,32.894669,-117.049687,11715 Fidelio Ct,"San Diego, CA 92131"
16,Escondido Charter High School,17,"1868 E. Valley Pkwy.Escondido, CA 92027",92027,367900,33.133646,-116.97962,1112 Destree Rd,"Escondido, CA 92027"
17,Poway High School,18,"15500 Espola Rd.Poway, CA 92064",92064,606400,32.994891,-117.018823,13976 Country Creek Rd,"Poway, CA 92064"
18,Helix High School,19,"7323 Univ Ave.La Mesa, CA 91941",91941,514100,32.75942,-116.997076,4369 Woodland Dr,"La Mesa, CA 91941"
19,Olympian High School,20,"1925 Magdalena Ave.Chula Vista, CA 91913",91913,457300,32.625569,-116.976102,1477 Carpinteria St,"Chula Vista, CA 91913"
20,University City High School,21,"6949 Genesee Ave.San Diego, CA 92122",92122,589500,32.861931,-117.17256,6719 Fisk Ave,"San Diego, CA 92122"
21,San Marcos High School,22,"1615 San Marcos Blvd.San Marcos, CA 92078",92078,502000,33.121434,-117.177444,894 Quail Hill Dr,"San Marcos, CA 92078"
22,La Jolla High School,23,"750 Nautilus St.La Jolla, CA 92037",92037,1282800,32.870045,-117.249522,5951 La Jolla Mesa Dr,"La Jolla, CA 92037"
23,River Valley Charter School,24,"9707 1/2 Marilla Dr.Lakeside, CA 92040",92040,408900,32.897702,-116.885209,9550 Cypress St,"Lakeside, CA 92040"
24,Eastlake High School,25,"1120 E.lake Pkwy.Chula Vista, CA 91915",91915,453700,32.620222,-116.948912,1361 Old Janal Ranch Rd,"Chula Vista, CA 91915"
