pet_id,type,primary breed,secondary breed,mixed breed,size,gender,age,photo1,photo2,organization_id,phone,address1,address2,city,state,postcode,email
44337850,Cat,Domestic Medium Hair,,True,Medium,Female,Baby,,,CA216,(951) 688-4340,6165 Industrial Avenue,,Riverside,CA,92504,adopt1@petsadoption.org
44337851,Cat,Domestic Medium Hair,,True,Medium,Male,Baby,,,CA216,(951) 688-4340,6165 Industrial Avenue,,Riverside,CA,92504,adopt1@petsadoption.org
44337852,Cat,Domestic Medium Hair,,True,Medium,Female,Baby,,,CA216,(951) 688-4340,6165 Industrial Avenue,,Riverside,CA,92504,adopt1@petsadoption.org
44337849,Cat,Domestic Short Hair,,True,Medium,Male,Young,,,CA216,(951) 688-4340,6165 Industrial Avenue,,Riverside,CA,92504,adopt1@petsadoption.org
44337829,Cat,Domestic Short Hair,,False,Small,Male,Young,,,CA567,951.413.3790  ,14041 Elsworth Street,,Moreno Valley,CA,92553,animalshelter@moval.org
44337320,Cat,Tortoiseshell,,True,Small,Female,Young,,,CA759,(562) 544-0335,,,Long Beach,CA,90802,fishmjo@yahoo.com
44337321,Cat,Tabby,Domestic Short Hair,True,Medium,Male,Adult,,,CA759,(562) 544-0335,,,Long Beach,CA,90802,fishmjo@yahoo.com
44337319,Cat,Siamese,Ragdoll,True,Large,Male,Young,,,CA759,(562) 544-0335,,,Long Beach,CA,90802,fishmjo@yahoo.com
44337057,Cat,Domestic Short Hair,,False,Large,Male,Adult,,,CA257,(714) 935-6848,1630 Victory Road,,Tustin,CA,92782,OCCRocpetinfo@occr.ocgov.com
44337058,Cat,Siamese,,False,Medium,Female,Adult,,,CA257,(714) 935-6848,1630 Victory Road,,Tustin,CA,92782,OCCRocpetinfo@occr.ocgov.com
44337059,Cat,Domestic Medium Hair,,False,Small,Female,Young,,,CA257,(714) 935-6848,1630 Victory Road,,Tustin,CA,92782,OCCRocpetinfo@occr.ocgov.com
44337060,Cat,Domestic Short Hair,,False,Large,Male,Young,,,CA257,(714) 935-6848,1630 Victory Road,,Tustin,CA,92782,OCCRocpetinfo@occr.ocgov.com
44337061,Cat,Domestic Short Hair,,False,Medium,Male,Young,,,CA257,(714) 935-6848,1630 Victory Road,,Tustin,CA,92782,OCCRocpetinfo@occr.ocgov.com
44337062,Cat,Domestic Short Hair,,False,Small,Female,Young,,,CA257,(714) 935-6848,1630 Victory Road,,Tustin,CA,92782,OCCRocpetinfo@occr.ocgov.com
44337050,Cat,Domestic Short Hair,,False,Medium,Female,Adult,,,CA257,(714) 935-6848,1630 Victory Road,,Tustin,CA,92782,OCCRocpetinfo@occr.ocgov.com
44336972,Cat,Domestic Short Hair,,False,Medium,Male,Adult,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44336972/1/?bust=1553804453,,CA544,(760) 550-2287,,,San Diego,CA,92111,help2014@catadoptionservice.org
44336598,Cat,Russian Blue,,False,Medium,Female,Young,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44336598/1/?bust=1553799688,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44336598/2/?bust=1553799704,CA1361,714-997-0868,Fountain Valley,,Fountain Valley,CA,92708,meoowzresq@aol.com
44336506,Cat,Bombay,,False,Medium,Male,Baby,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44336506/1/?bust=1553799187,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44336506/2/?bust=1553799202,CA1361,714-997-0868,Fountain Valley,,Fountain Valley,CA,92708,meoowzresq@aol.com
44336510,Cat,Domestic Short Hair,,False,Medium,Female,Adult,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44336510/1/?bust=1553806682,,CA738,909-466-PETS (7387),11780 Arrow Route,,Rancho Cucamonga,CA,91730,rcpets@cityofrc.com
44336306,Cat,Domestic Short Hair,,False,Medium,Female,Baby,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44336306/3/?bust=1553798772,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44336306/1/?bust=1553798687,CA1361,714-997-0868,Fountain Valley,,Fountain Valley,CA,92708,meoowzresq@aol.com
44336230,Cat,Domestic Short Hair,,False,Medium,Female,Young,,,CA1183,(562) 570-7387  ,7700 E. Spring St.,,Long Beach,CA,90815,animalcare@longbeach.gov
44336125,Cat,Russian Blue,,True,Medium,Male,Baby,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44336125/1/?bust=1553798266,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44336125/2/?bust=1553798277,CA1361,714-997-0868,Fountain Valley,,Fountain Valley,CA,92708,meoowzresq@aol.com
44336190,Cat,Domestic Short Hair,,True,Medium,Male,Adult,,,CA1167,(951) 654-8002 x 0 ,690 Humane Way,,San Jacinto,CA,92582,RamonaHumaneSociety@Yahoo.com
44335704,Cat,Domestic Short Hair,Calico,True,Medium,Female,Adult,,,CA1886,909-203-3695,2587 C Chino Hills Parkway,,Chino Hills,CA,91709,priceless.pets@yahoo.com
