pet_id,type,primary breed,secondary breed,mixed breed,size,gender,age,photo1,photo2,organization_id,phone,address1,address2,city,state,postcode,email,address,Lat,Lng
44337850,Cat,Domestic Medium Hair,,True,Medium,Female,Baby,,,CA216,(951) 688-4340,6165 Industrial Avenue,,Riverside,CA,92504,adopt1@petsadoption.org,"6165 Industrial Avenue,Riverside,CA 92504",33.9662014,-117.4369995
44337851,Cat,Domestic Medium Hair,,True,Medium,Male,Baby,,,CA216,(951) 688-4340,6165 Industrial Avenue,,Riverside,CA,92504,adopt1@petsadoption.org,"6165 Industrial Avenue,Riverside,CA 92504",33.9662014,-117.4369995
44337852,Cat,Domestic Medium Hair,,True,Medium,Female,Baby,,,CA216,(951) 688-4340,6165 Industrial Avenue,,Riverside,CA,92504,adopt1@petsadoption.org,"6165 Industrial Avenue,Riverside,CA 92504",33.9662014,-117.4369995
44337849,Cat,Domestic Short Hair,,True,Medium,Male,Young,,,CA216,(951) 688-4340,6165 Industrial Avenue,,Riverside,CA,92504,adopt1@petsadoption.org,"6165 Industrial Avenue,Riverside,CA 92504",33.9662014,-117.4369995
44337829,Cat,Domestic Short Hair,,False,Small,Male,Young,,,CA567,951.413.3790  ,14041 Elsworth Street,,Moreno Valley,CA,92553,animalshelter@moval.org,"14041 Elsworth Street,Moreno Valley,CA 92553",33.9156583,-117.2709642
44337320,Cat,Tortoiseshell,,True,Small,Female,Young,,,CA759,(562) 544-0335,,,Long Beach,CA,90802,fishmjo@yahoo.com,",Long Beach,CA 90802",33.7415317,-118.1941785
44337321,Cat,Tabby,Domestic Short Hair,True,Medium,Male,Adult,,,CA759,(562) 544-0335,,,Long Beach,CA,90802,fishmjo@yahoo.com,",Long Beach,CA 90802",33.7415317,-118.1941785
44337319,Cat,Siamese,Ragdoll,True,Large,Male,Young,,,CA759,(562) 544-0335,,,Long Beach,CA,90802,fishmjo@yahoo.com,",Long Beach,CA 90802",33.7415317,-118.1941785
44337057,Cat,Domestic Short Hair,,False,Large,Male,Adult,,,CA257,(714) 935-6848,1630 Victory Road,,Tustin,CA,92782,OCCRocpetinfo@occr.ocgov.com,"1630 Victory Road,Tustin,CA 92782",33.7118934,-117.8328456
44337058,Cat,Siamese,,False,Medium,Female,Adult,,,CA257,(714) 935-6848,1630 Victory Road,,Tustin,CA,92782,OCCRocpetinfo@occr.ocgov.com,"1630 Victory Road,Tustin,CA 92782",33.7118934,-117.8328456
44337059,Cat,Domestic Medium Hair,,False,Small,Female,Young,,,CA257,(714) 935-6848,1630 Victory Road,,Tustin,CA,92782,OCCRocpetinfo@occr.ocgov.com,"1630 Victory Road,Tustin,CA 92782",33.7118934,-117.8328456
44337060,Cat,Domestic Short Hair,,False,Large,Male,Young,,,CA257,(714) 935-6848,1630 Victory Road,,Tustin,CA,92782,OCCRocpetinfo@occr.ocgov.com,"1630 Victory Road,Tustin,CA 92782",33.7118934,-117.8328456
44337061,Cat,Domestic Short Hair,,False,Medium,Male,Young,,,CA257,(714) 935-6848,1630 Victory Road,,Tustin,CA,92782,OCCRocpetinfo@occr.ocgov.com,"1630 Victory Road,Tustin,CA 92782",33.7118934,-117.8328456
44337062,Cat,Domestic Short Hair,,False,Small,Female,Young,,,CA257,(714) 935-6848,1630 Victory Road,,Tustin,CA,92782,OCCRocpetinfo@occr.ocgov.com,"1630 Victory Road,Tustin,CA 92782",33.7118934,-117.8328456
