pet_id,type,primary breed,secondary breed,mixed breed,size,gender,age,photo1,photo2,organization_id,phone,address1,address2,city,state,postcode,email
44338661,Dog,Boxer,German Shorthaired Pointer,True,Large,Male,Adult,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44338661/4/?bust=1553803308,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44338661/1/?bust=1553803294,CA1048,714-241-9765  ,,,Santa Ana,CA,92780,poochmatch@hotmail.com
44338300,Dog,Labrador Retriever,,True,Medium,Female,Young,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44338300/1/?bust=1553805167,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44338300/2/?bust=1553805168,CA1530,619-990-7455   ,2307 Fenton Parkway #107-160,,San Diego,CA,92108,labradorsandfriends@yahoo.com
44337830,Dog,Poodle,,False,Small,Female,Senior,,,CA567,951.413.3790  ,14041 Elsworth Street,,Moreno Valley,CA,92553,animalshelter@moval.org
44337831,Dog,Miniature Pinscher,,False,Small,Male,Adult,,,CA567,951.413.3790  ,14041 Elsworth Street,,Moreno Valley,CA,92553,animalshelter@moval.org
44337828,Dog,Brittany Spaniel,Mixed Breed,True,Small,Male,Young,,,CA567,951.413.3790  ,14041 Elsworth Street,,Moreno Valley,CA,92553,animalshelter@moval.org
44337359,Dog,Rat Terrier,Jack Russell Terrier,True,Small,Female,Baby,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44337359/1/?bust=1553800874,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44337359/2/?bust=1553800990,CA1048,714-241-9765  ,,,Santa Ana,CA,92780,poochmatch@hotmail.com
44337314,Dog,Boxer,,True,Large,Female,Young,,,CA1874,(858) 273-5386,P.O. Box 178196,,San Diego,CA,92177,doginfo@labsandmore.org
44337315,Dog,Boxer,,True,Large,Female,Baby,,,CA1874,(858) 273-5386,P.O. Box 178196,,San Diego,CA,92177,doginfo@labsandmore.org
44337316,Dog,Boxer,,True,Large,Female,Baby,,,CA1874,(858) 273-5386,P.O. Box 178196,,San Diego,CA,92177,doginfo@labsandmore.org
44337317,Dog,Boxer,,True,Large,Male,Baby,,,CA1874,(858) 273-5386,P.O. Box 178196,,San Diego,CA,92177,doginfo@labsandmore.org
44337318,Dog,Boxer,,True,Large,Female,Baby,,,CA1874,(858) 273-5386,P.O. Box 178196,,San Diego,CA,92177,doginfo@labsandmore.org
44337304,Dog,Labrador Retriever,,True,Large,Female,Baby,,,CA1874,(858) 273-5386,P.O. Box 178196,,San Diego,CA,92177,doginfo@labsandmore.org
44337305,Dog,Labrador Retriever,Terrier,True,Medium,Female,Adult,,,CA1874,(858) 273-5386,P.O. Box 178196,,San Diego,CA,92177,doginfo@labsandmore.org
44337306,Dog,Labrador Retriever,Terrier,True,Medium,Female,Baby,,,CA1874,(858) 273-5386,P.O. Box 178196,,San Diego,CA,92177,doginfo@labsandmore.org
44337307,Dog,Labrador Retriever,Terrier,True,Medium,Female,Baby,,,CA1874,(858) 273-5386,P.O. Box 178196,,San Diego,CA,92177,doginfo@labsandmore.org
