age,city,email,gender,mixed breed,organization_id,pet_id,phone,photo1,photo2,photo3,postcode,primary breed,secondary breed,size,state,type,url
Senior,Alvin,info@pughearts.com,Female,False,TX1084,44293212,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44293212/2/?bust=1553290882,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44293212/1/?bust=1553290879,,77512,Pug,,Small,TX,Dog,https://www.petfinder.com/dog/lady-bug-44293212/tx/alvin/pughearts-the-houston-pug-rescue-tx1084/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Senior,Scituate,,Male,True,MA85,44293072,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44293072/1/?bust=1553291033,,,02066,Pug,Beagle,Medium,MA,Dog,https://www.petfinder.com/dog/yoda-44293072/ma/scituate/scituate-animal-shelter-ma85/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Alvin,info@pughearts.com,Male,False,TX1084,44293195,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44293195/2/?bust=1553290352,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44293195/1/?bust=1553290350,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44293195/3/?bust=1553290354,77512,Pug,,Medium,TX,Dog,https://www.petfinder.com/dog/koji-44293195/tx/alvin/pughearts-the-houston-pug-rescue-tx1084/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Senior,Alvin,info@pughearts.com,Male,False,TX1084,44293176,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44293176/1/?bust=1553289795,,,77512,Pug,,Small,TX,Dog,https://www.petfinder.com/dog/justin-44293176/tx/alvin/pughearts-the-houston-pug-rescue-tx1084/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Senior,Alvin,info@pughearts.com,Male,False,TX1084,44293159,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44293159/3/?bust=1553289530,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44293159/1/?bust=1553289526,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44293159/2/?bust=1553289529,77512,Pug,,Small,TX,Dog,https://www.petfinder.com/dog/irving-44293159/tx/alvin/pughearts-the-houston-pug-rescue-tx1084/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Eagle,rhiannon.rowe@eaglecounty.us,Male,False,CO184,44292882,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44292882/1/?bust=1553283961,,,81631,Pug,,Small,CO,Dog,https://www.petfinder.com/dog/oreo-44292882/co/eagle/eagle-county-animal-shelter-co184/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Alvin,info@pughearts.com,Male,False,TX1084,44292343,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44292343/3/?bust=1553277242,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44292343/1/?bust=1553277238,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44292343/2/?bust=1553277240,77512,Pug,,Small,TX,Dog,https://www.petfinder.com/dog/harrison-44292343/tx/alvin/pughearts-the-houston-pug-rescue-tx1084/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Appleton,adopt@foxvalleypets.org,Male,True,WI72,44292232,,,,,54914,Pug,,Medium,WI,Dog,https://www.petfinder.com/dog/peppers-44292232/wi/appleton/fox-valley-humane-association-wi72/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Inverness,,Female,True,FL304,44292158,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44292158/1/?bust=1553273179,,,34450,Pug,,Small,FL,Dog,https://www.petfinder.com/dog/41129412-available-3-27-44292158/fl/inverness/citrus-county-animal-services-fl304/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,High Point,lovingpetinnadoptions@gmail.com,Female,True,NC683,44292041,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44292041/1/?bust=1553272753,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44292041/2/?bust=1553272778,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44292041/3/?bust=1553272786,27265,Pug,Beagle,Small,NC,Dog,https://www.petfinder.com/dog/lady-44292041/nc/high-point/loving-pet-inn-adoptions-nc683/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Senior,Gardena,gwenn@pugnationla.org,Female,True,CA2386,44291568,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44291568/1/?bust=1553287063,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44291568/2/?bust=1553287082,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44291568/3/?bust=1553287092,90248,Pug,Chihuahua,Small,CA,Dog,https://www.petfinder.com/dog/mochi-spikers-44291568/ca/gardena/pug-nation-rescue-of-la-ca2386/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Rock Hill,operationcareadoptions@yahoo.com,Male,True,SC80,44290642,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44290642/1/?bust=1553262864,,,29730,Pug,Beagle,Small,SC,Dog,https://www.petfinder.com/dog/oscar-44290642/sc/rock-hill/operation-care-sc80/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Alvin,info@pughearts.com,Male,False,TX1084,44290544,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44290544/2/?bust=1553259916,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44290544/1/?bust=1553259912,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44290544/3/?bust=1553259917,77512,Pug,,Small,TX,Dog,https://www.petfinder.com/dog/grendel-44290544/tx/alvin/pughearts-the-houston-pug-rescue-tx1084/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Alvin,info@pughearts.com,Male,False,TX1084,44290475,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44290475/1/?bust=1553256864,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44290475/2/?bust=1553256866,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44290475/3/?bust=1553256868,77512,Pug,,Small,TX,Dog,https://www.petfinder.com/dog/grayson-44290475/tx/alvin/pughearts-the-houston-pug-rescue-tx1084/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,San Ramon,Melody@lovesecondchances.org,Female,True,CA1973,44290420,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44290420/1/?bust=1553250632,,,94582,Pug,Pekingese,Small,CA,Dog,https://www.petfinder.com/dog/candy-44290420/ca/san-ramon/love-and-second-chances-ca1973/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Baby,Oshkosh,newpawsibilities@gmail.com,Female,True,WI419,44290148,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44290148/1/?bust=1553258867,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44290148/2/?bust=1553258907,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44290148/3/?bust=1553258918,54901,Pug,Terrier,Small,WI,Dog,https://www.petfinder.com/dog/pear-44290148/wi/oshkosh/n-dot-ew-pawsibilities-wi419/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Baby,Yuma,adoptions@hsoyuma.com,Male,False,AZ110,44289720,,,,,85365,Pug,,Medium,AZ,Dog,https://www.petfinder.com/dog/rambo-44289720/az/yuma/humane-society-of-yuma-az110/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Colleyville,homelesshounds2016@gmail.com,Female,True,TX2177,44288989,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44288989/3/?bust=1553222299,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44288989/1/?bust=1553222185,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44288989/2/?bust=1553222299,76034,Pug,Chihuahua,Small,TX,Dog,https://www.petfinder.com/dog/winnie-44288989/tx/colleyville/homeless-hounds-animal-rescue-tx2177/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Denison,denisonanimals@gmail.com,Male,True,TX1965,44287926,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44287926/1/?bust=1553225268,,,75021,Pug,Chihuahua,Small,TX,Dog,https://www.petfinder.com/dog/bazzi-44287926/tx/denison/denison-animal-welfare-group-tx1965/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Colleyville,homelesshounds2016@gmail.com,Male,True,TX2177,44287364,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44287364/1/?bust=1553216996,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44287364/2/?bust=1553217051,,76034,Pug,Terrier,Small,TX,Dog,https://www.petfinder.com/dog/porter-44287364/tx/colleyville/homeless-hounds-animal-rescue-tx2177/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Colleyville,homelesshounds2016@gmail.com,Male,True,TX2177,44287216,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44287216/1/?bust=1553216706,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44287216/2/?bust=1553216776,,76034,Pug,Terrier,Small,TX,Dog,https://www.petfinder.com/dog/dublin-44287216/tx/colleyville/homeless-hounds-animal-rescue-tx2177/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Colleyville,homelesshounds2016@gmail.com,Male,True,TX2177,44287112,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44287112/1/?bust=1553216456,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44287112/2/?bust=1553216534,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44287112/4/?bust=1553216617,76034,Pug,,Small,TX,Dog,https://www.petfinder.com/dog/blarney-44287112/tx/colleyville/homeless-hounds-animal-rescue-tx2177/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Gulfport,tdradoptions@gmail.com,Male,False,MS146,44287123,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44287123/1/?bust=1553227755,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44287123/2/?bust=1553227764,,39503,Pug,,Small,MS,Dog,https://www.petfinder.com/dog/nikko-44287123/ms/gulfport/tired-dog-rescue-ms146/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Pontiac,petadoption@oakgov.com,Male,True,MI369,44286723,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44286723/1/?bust=1553228942,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44286723/2/?bust=1553228947,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44286723/3/?bust=1553228950,48341,Pug,Terrier,Medium,MI,Dog,https://www.petfinder.com/dog/bastion-home-with-meds-44286723/mi/pontiac/oakland-county-animal-shelter-and-pet-adoption-center-mi369/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
